Sergio Fajardo hizo el oso en Bogota|Sergio Fajardo hacer_el_oso Bogota|-3
Lo que usted propone es que se unan a los verdes? Deje el ego,el presidente puede ser por experiencia de la calle,ya el vice y los ministros se mira despues,voy por petro pero por mi pais asumo la mejor desicion y @DeLaCalleHum  puede unir&mdash; Americanofenix87 (@Americanofenix3) March 21, 2018		| |0
#Elecciones2018��� H�gase un favor y vea este v�deo !!!#Colombia�#Uribe�#Petro�#Informacion�#verde#Liberal�#cambioRadical�#centrodemocratico�#urgente�#duque�#fajardo�#delacalle�#caracol�#rcn�#noticiasuno #canaluno@petrogustavo@AlvaroUribeVelhttps://t.co/ytBFq4MMbD&mdash; Daniel Joaqui (@DannyJoaqui) March 29, 2018		| |0
O. Bula Escobar en Twitter: ;Las coincidencias políticas están claras, fue usted quien le entregó el país al Narcotráfico en La Habana - y Fajardo no se queja. De ahí se deducen las coincidencias éticas – sobre todo - la complacencia con la “traición”…… https://t.co/SNf07X27P6;| coincidente claras  entreg narcotraf haban fajard quej  deducen coincidente etic – complacente “traicion”……    |-2
Erika Zapata en Twitter: ;#FajardoLogró como alcalde de Medellín combinar inclusión social y urbanismo con la construcción del Parque Explora, el Jardín Botánico, la Casa de la Lectura Infantil y los Parques Biblioteca, aulas ciudadanas para la ciencia y la cultura, que fortalecieron lo público.… https://t.co/hmdLNKN556;| #fajardologr alcalde medellin combin inclusion social urban construccion parque explor  jardin botanic  cas lectur infantil parques bibliotec  aul ciudadan cienci cultur  fortalec public   |5
La ciencia, una de las grandes apuestas de @sergio_fajardo Un cient�fico de presidente, que dar� educaci�n integral y fomentar� una sociedad justa y equitativa #FajardoCharladito https://t.co/42gqHerEnQ&mdash; Lorena Ramirez (@bioramirez) March 21, 2018		| |4
Que bueno es ver que varios de mis conocidos que iban a votar por Petro tomaron el tiempo de informarse bien y ahora piensan votar por Fajardo, el cambio si es posible! #ConEducacionSePuede #FajardoPresidente  @sergio_fajardo&mdash; Carlos Castillo (@PoleeCastillo) March 28, 2018		| |5
Compromiso Antioquia en Twitter: ;El reto político es ganarle “al de Santos” en primera vuelta y “al de Uribe” en la segunda: @sergio_fajardo #FajardoResponde en @NoticiasCaracol;| ret politic ganarle “al santos” “al uribe” segund  #fajardoresponde @noticiascaracol   |2
Para @Sergio_Fajardo, maestras y maestros son pilar para la calidad de la educaci�n y por eso cre� Maestros al tablero, que benefici� a m�s de 10.000 maestros con programas de capacitaci�n y actualizaci�n en Medell�n. #ConEducaci�nSePuede&mdash; Compromiso Ciudadano (@compromisociu) March 21, 2018		| |4
Lectores de Portafolio creen que el presidente ser� Sergio Fajardo #SePuede y pondr� mi trabajo a disposici�n de esta gran alternativa para el pa�s https://t.co/LM1R8SaYew&mdash; ?Estefanni Barreto (@estefanisuper) March 20, 2018		| |3
Compromiso Antioquia en Twitter: ;¡Con #LaFuerzaDeLaEsperanza llegó el momento de pasar la página! Sabemos que con #FajardoPresidente #SePuede ¡Haz parte del cambio!… https://t.co/LcjEF3zBTX;|  con #lafuerzadelaesper lleg moment pagin  sabem #fajardopresidente #sepuede  haz cambi …   |3
SIN EXCUSAS, Lea, conozca y decida: 1. Gustavo Petro https://t.co/J4C2ltbIWk�2. Humberto de la Calle https://t.co/A2Nu0sqH6J3. Ivan Duque https://t.co/OghKg9ZfzI4. Sergio Fajardo https://t.co/XDkTFDBqGn�5. Germ�n Vargas Lleras https://t.co/U6fj91u6M7&mdash; �ngela. (@Amva94) March 28, 2018		| |0
Antuan Toledo en Twitter: ;Da risa como los seguidores de Petro que no creen en esta encuesta pero si creen en las anteriores donde tenía más apoyo 😂 vaya hipócritas. Petro se está perdiendo su oportunidad de ser presidente gracias a su cercanía a Venezuela, nunca los condenó con fuerza, fue huevos tibios… https://t.co/vKBFbsT1Du;| Da ris seguidores creen encuest creen anteriores tenía apoy 😂 hipocrit  perd oportun presidente graci cercan venezuel  conden fuerz  huev tibios…   |0
Henbertcito en Twitter: ;#FajardoLogró caer en las encuestas más rápido que cualquiera, eso gracias a las malas compañías: Robledo, Claudia López, etc. Le falta Petro y De la Calle;| #fajardologr caer encuest rapid  graci mal compañ  robled  claudi lopez   falt calle   |-3
�Por qu� el silencio @petrogustavo, @sergio_fajardo @DeLaCalleHum? 200.000 habitantes se encuentran sin luz por voladura de dos torres de energ�a en Tumaco https://t.co/OyhKKRZAsz&mdash; Josias Fiesco (@josiasfiesco) March 28, 2018		| |0
#FajardoLogr� crear el Banco de las Oportunidades con el objetivo incentivar el acceso financiero a familias en condici�n de pobreza, micro empresarios, peque�a y mediana empresa. ?????&mdash; Angela H Whitecastle (@castiblancoange) March 26, 2018		| |5
Humberto de la Calle en Twitter: ;Hoy con @sergio_fajardo nos tomamos un café donde pensamos primero en Colombia más que en nosotros mismos. Coincidimos que es un ejercicio de responsabilidad no dejar caer a Colombia en la polarización.… https://t.co/4v2sTkCreD;| tom cafe pens colombi  coincid ejercici responsabil caer colombi polariz   |4
De la calle si.. Y Fajardo en cambio tambi�n. El primero el partido liberal, el segundo sus financiadores.&mdash; Saul Argumedo (@SaulArgumedo) March 27, 2018		| |0
@Rayal #NoLeyMordaza en Twitter: ;Por daño a la profesión, y a los lectores y ciudadanos a los que intentan engañar intencionadamente, faltando AAL compromiso deontológico, y por un precio q estamos pagando todos, y que nos trae más pobreza,  más miseria, más corrupción, familias destrozadas. PERIODISMO VENDIDO.… https://t.co/aa4yL2jrZV;| dañ profesion  lectores ciudadan engañ intencionad  falt compromis deontolog  preci pag  trae pobrez   miseri  corrupcion  famili destroz  period vend    |-1
Angela H Whitecastle en Twitter: ;#FajardoLogró la vacunación de 521.000 mascotas con rabia. 20.000 perros y gatos fueron esterilizados en el Departamento de Antioquia 🐶🐱;| #fajardologr vacun mascot rabi  perr gat esteriliz departament antioqui     |4
Andrés Clavijo Rangel en Twitter: ;La pregunta que se hizo en la consulta Liberal deja la puerta abierta a que @DeLaCalleHum pueda hacer una nueva coalición con @sergio_fajardo, no tendrían problema para formar la #GranCoaliciónColombia #PreguntaYamid… https://t.co/AJ3EP5m8FF;| pregunt hiz consult liberal dej abiert pued nuev coalicion  tendrían problem form #grancoalicioncolombi #preguntayamid…    |0
Tangor en Twitter: ;Con las estadísticas reforzar más los puntos crítico es el compromiso de todos… https://t.co/IFdiT9KNbz;| estadist reforz punt critic compromis todos…   |0
Le preguntamos a 100 colombianos quien ser�a el pr�ximo presidente, aqu� los resultados:Fajardo -2-De la Calle -4-Petro -1-Vargas Lleras -8-Blanco -15-Ns/Nr -27-Duque -93- #encuestaRCN&mdash; ?POKER2018??? (@JPDAKU) March 21, 2018		| |0
Durante su administraci�n en Medellin, #FajardoLogr� pasar a la ciudad del Miedo a la esperanza. Generando apropiaci�n del espacio p�blico y formalizando el Sistema Integrado de Transporte con los estudios de factibilidad y planeaci�n del Metropl�s y el Tranv�a de Ayacucho. pic.twitter.com/pwBCiawhhn&mdash; Juan Jose Largo F (@JuanJoLargo) March 25, 2018		| |5
Alejandro Jaramillo Mejía. en Twitter: ;Al cabo es que lo más probable es que solos, Petro o Fajardo,la probabilidad de ser presidente es menor en contraste con Duque. Lo idóneo en mi concepto es estar en el centro, donde tanto Fajardo, Petro y otros lideren una nueva transformación de este país.… https://t.co/ZVUT4sNrjK;| cab probable sol  fajard probabil presidente menor contr duque  idone concept centr  fajard  lideren nuev transform   |3
Para m� la mejor opci�n y la mejor muestra de amor por nuestra #Colombia es q @petrogustavo y @sergio_fajardo se aliaran y apoyar�n a @DeLaCalleHum como presidente.&mdash; ANGELA MARIA ARMENTA (@amarbe727) March 29, 2018		| |0
Compromiso Antioquia en Twitter: ;Vamos por nuestro primer premio de montaña: la primera vuelta ¡Pedalea con nosotros! #FajardoPresidente #CoaliciónColombia #SePuede #LaFuerzaDeLaEsperanza #FelizMiércoles @sergio_fajardo @ClaudiaLopez… https://t.co/FogAWeXCTH;| vam premi montañ   pedale nosotros  #fajardopresidente #coalicioncolombi #sepuede #lafuerzadelaesper #felizmiercoles @claudialopez…   |4
Juan Jose Largo F en Twitter: ;En Antioquia La Más Educada, #FajardoLogró crear el Movimiento Juvenil de Ciencia y Tecnología más grande en todo Colombia con el talento de todos los jóvenes de los municipios del departamento https://t.co/AFqUBeALwt #SePuede @sergio_fajardo;| antioqui educ  #fajardologr cre movimient juvenil cienci tecnolog grande colombi talent jovenes municipi departament #sepuede   |5
Compromiso Antioquia en Twitter: ;#FajardoLogró construir la ciudadela universitaria de la Universidad de Antioquia, en Apartadó, que beneficia a miles de estudiantes en el Urabá antioqueño.… https://t.co/m0GEWQ1uOd;| #fajardologr constru ciudadel universitari univers antioqui  apartad  benefici miles estudi urab antioqueñ   |4
#FajardoLogr� construir, como Gobernador de Antioquia, 40 parques educativos que con la participaci�n de las comunidades que se convirtieron en verdaderos centros de formaci�n, cultura, innovaci�n, tecnolog�a y emprendimiento. pic.twitter.com/ag9nsQouuN&mdash; Felipe Pineda Ruiz (@pineda0ruiz) March 25, 2018		| |3
Juan Fdo. Vélez B. en Twitter: ;Si a Fajardo presidente #PreguntaYamid;| fajard presidente #preguntayam   |4
Julbia Herrera en Twitter: ;La experiencia no se improvisa #FajardoLogró por ser coherente , no debe favores políticos y es buen administrador de los recursos pùblicos. Por esto #FajardoPresidente y @ClaudiaLopez nuestra vice para combatir la corrupción.; @mariaandrea0113… https://t.co/Y1SLH1KtJO;| experiente improvis #fajardologr coherente   favores politic buen administr recurs public  #fajardopresidente vice combat corrupcion   @mariaandrea0113…   |5
#FajardoLogr� impulsar la construcci�n del Puerto de Turbo como estrategia de desarrollo de Urab�.&mdash; Angela H Whitecastle (@castiblancoange) March 25, 2018		| |4
Compromiso Antioquia en Twitter: ;#FajardoPropone recuperar el dinero que nos roba la corrupción: cerca de 9 billones de pesos cada año. Todo eso será para la educación : @sergio_fajardo en #PreguntaYamid;| #fajardopropone recuper diner rob corrupcion  cerc billones año  educ   #preguntayam   |3
#FajardoResponde en @NoticiasCaracol: -Anticorrupci�n-Educaci�n-Incremento de Empleo-Seguridad-Desarrollo Rural-Acuerdos de Paz#LaFuerzaDeLaEsperanza #SePuede @sergio_fajardo @ClaudiaLopez&mdash; Compromiso Antioquia (@Compromiso_Ant) March 24, 2018		| |4
Cordial saludo doctora.Podr�a considerarse la ausencia de #LogicaPolitica sumado al s�ndrome de Estocolmo del se�or @sergio_fajardo lo hace m�s ;bruto; que @petrogustavo Aunque usted no lo crea.Att: La pobreza. pic.twitter.com/9yU2T8q9x3&mdash; Grupo Profesional (@Pensar_Solucion) March 29, 2018		| |-3
Compromiso Antioquia en Twitter: ;;Las herramientas digitales son fundamentales en el mundo de la educación, es importante incorporarlas y tener procesos de enseñanza adecuadas en torno a ellas;: @sergio_fajardo #ConEducaciónSePuede;|  herramient digitales fundamentales mund educ  import incorporarl proces enseñ adecu torn   #coneducacionsepuede   |4
Juan Jose Largo F en Twitter: ;Somos la fuerza de la esperanza, vamos Colombia que #SePuede @sergio_fajardo Presidente.;| som fuerz esper  colombi #sepuede presidente    |4
el más grande en Twitter: ;Buenos días a todos @losfosfonautas aunque sea fiesta de #JuevesSanto nosotros estamos al otro lado del transistor. Un saludo a todo el equipo de @HerreraenCOPE @carlosherreracr @Goyo_Gonzalez10 @MaryjoeJarl @Una_de_50 @CGUBASS @sergio_barbosa_;| buen fiest #juevessant transistor  salud equip           |0
Compromiso Antioquia en Twitter: ;Vamos a despolitizar, tecnificar y darle mayor financiación al SENA. Con @sergio_fajardo y #ConEducaciónSePuede;| vam despolitiz  tecnific mayor financi sen  #coneducacionsepuede   |5
Martina. en Twitter: ;Fomo yo con sergio ah4e… ;| fom sergi     |0
#FajardoLogr� ganar la gobernaci�n perdiendo TODAS las encuestas&mdash; Efrapotter (@efrapotter) March 25, 2018		| |2
�C�mo no van a salir cosas buenas, cuando ten�s semejante mont�n de cracks sentados en la misma mesa? #LaFuerzaDeLaEsperanza #SePuede pic.twitter.com/Yd2i0htj8B&mdash; Esteban Jaramillo (@Estebanjararuiz) March 23, 2018		| |4
david fernando en Twitter: ;No gaste más platica ni energía usted no queda presidente ni de una junta de acción comunal… ;| gaste platic energ presidente junt accion comunal…    |-5
El inter�s por fortalecer la econom�a rural y sus cultivos no es nuevo, @sergio_fajardo ha trabajado por las comunidades rurales desde sus anteriores gobiernos y ahora lo haremos en todo el pa�s #FajardoLogr� #SePuede pic.twitter.com/jdoEXte4Ts&mdash; Andrea Mejia (@andreamejiaf) March 25, 2018		| |4
Crittiko en Twitter: ;Dos confidenciales de @RevistaSemana muestran que enriquecerse a costa del Estado no es práctica solo de corruptos, sino hasta por buenas causas: excusa alianza de la Calle-Fajardo y lo del tarjetón del voto en blanco de PRE. Es cuestión de cómo se ve el Estado...;| dos confidenciales @revistaseman muestr enriquecerse cost estad practic corrupt  buen caus  excus alianz calle-fajard tarjeton vot blanc pre  estad      |-3
Terminamos agenda en #Chia #Cundinamarca consolidando  equipos @sergio_fajardo sabana Centro, es la ciudadan�a #LaFuerzaDeLaEsperanza ...#SePuede!! @GermanEsco1 @johnsudarsky pic.twitter.com/3SazewlC0A&mdash; ANGELICA G�MEZ (@mayegomezlopez) March 24, 2018		| |3
Ivo en Twitter: ;@saenz_fajardo va a habe tiro;| @saenz_fajard habe tir   |0
Javier Andrés Lenis en Twitter: ;El próximo Presidente va a ser @German_Vargas,  quien se encargó inteligentemente de hacernos creer que los mejores estaban en los extremos, haciendo perder fuerza a @sergio_fajardo que era su real contendor desde el principio. Reapareció demostrando que @CambioRadicaI es fuerte;| proxim presidente @german_varg   encarg inteligente hacern cre mejores estaban extrem  perd fuerz real contendor principi  reaparec demostr @cambioradicai fuerte   |0
Rubén García Galan en Twitter: ;Cada vez estoy más convencido de que una correcta gestión de vestuario aparte de depender del Entrenador/Cuerpo Técnico, depende y mucho de la madurez de los futbolistas a la hora de entender situaciones/decisiones y del compromiso de ellos con el objetivo grupal. 💭⚽;| cad convenc correct gestion vestuari aparte depend entrenador/cuerp tecnic  depende madurez futbol entend situaciones/decisiones compromis objet grupal  💭⚽   |0
Si su candidato es Fajardo, no satanice a Petro, si su candidato es Petro, no satanice a Fajardo o a De La Calle... Si usted lo hace, la extrema derecha, los carniceros, celebran, a ellos les interesa que los alternativos nos vivamos jalando de las gre�as.&mdash; S A L V A D O R (@JesalvadorQ) March 28, 2018		| |1
No me gusta, que Fajardo llegue a proponer una consulta a estas alturas, ya ese momento pas�. Pienso que no le importa este momento hist�rico del pa�s, solo su aspiraci�n.&mdash; Rosi ?? (@RosiGaviria) March 28, 2018		| |-2
No me gusta, que Fajardo llegue a proponer una consulta a estas alturas, ya ese momento pas�. Pienso que no le importa este momento hist�rico del pa�s, solo su aspiraci�n.&mdash; Rosi ?? (@RosiGaviria) March 28, 2018		| |-2
Compromiso Antioquia en Twitter: ;Somos una opción que no parte del miedo. Soñamos con una Colombia donde podamos ser diferentes sin ser enemigos, donde la educación sea el motor de la transformación. ;Esta es #LaFuerzaDeLaEsperanza #CoaliciónColombia #FajardoPresidente… https://t.co/oVQG4lHYoE;| som opcion mied  soñ pod diferentes enemig  educ motor transform   #lafuerzadelaesper #coalicioncolombi #fajardopresidente…    |4
#FajardoLogr� Llevar la educaci�n a lugares lejanos de Antioquia como Vigia del Fuerte, con un Parque Educativo que transform� las din�micas de esta poblaci�n  https://  https://t.co/iRXiiB2oXh pic.twitter.com/sH7IaUVSS5&mdash; J Andr�s Boh�rquez B (@SOYANDREWBB) March 25, 2018		| |4
Quieto fajardo&mdash; ???????? .... (@ZvvPelizdkhaan) March 29, 2018		| |0
#FajardoLogr� sin maquinarias pol�ticas ser alcalde de Medell�n y lograr una aceptaci�n si precedentes. Adem�s, logr� ser el gobernador m�s votado en la historia de la democracia. Ahora vamos por la presidencia ????&mdash; Sebastian Londo�o (@el_london00) March 26, 2018		| |4
En los cuatro a�os en Alcald�a de Medell�n,  #FajardoLogr� que los estudiantes de escuelas p�blicas con bajo desempe�o escolar pasaran de 65% a 11.6% . Con @sergio_fajardo se mejoraron las condiciones laborales de los docentes. pic.twitter.com/RmZEJ0vZ2P&mdash; Felipe Pineda Ruiz (@pineda0ruiz) March 25, 2018		| |4
@sergio_fajardo hizo posible que Antioquia obtuviera el mejor desempe�o de todos los departamentos del pa�s en Gobierno Abierto, transparencia y en inversi�n de regal�as. #FajardoLogr� pic.twitter.com/6J0lGTPgL6&mdash; Felipe Pineda Ruiz (@pineda0ruiz) March 25, 2018		| |5
Las Mujeres acompa�ando programa que garantiza claros y precisos avances a nuestra igualdad y nuestros derechos. @sergio_fajardo Presidente https://t.co/41ikN3gXuB&mdash; Lilia Avella B. (@liliaavellaPDA) March 19, 2018		| |2
Ojal� sea educaci�n gratuita al menos hasta el.pregado y de todas las carreras del mercado&mdash; CPCardozo (@cielope021) March 28, 2018		| |1
Wilson H. Guevara C. en Twitter: ;El único que quería con Petro era usted y después de que consigo lo que quería también lo deseo a usted y lo trató de marginal e ínfimo político. Tenga dignidad, es unión no se va a dar antes de la primera vuelta.… https://t.co/QvUwNxu4W5;| unic queri petr queri dese trat marginal infim politic  teng dignid  union   |0
#FajardoLogr� poner la educaci�n en la agenda pol�tica y social de Medell�n y de Antioquia. Cre� las Olimpiadas del conocimiento, una estrategia para impulsar el talento de los j�venes en diferentes �reas. pic.twitter.com/ml6xdBdIWG&mdash; Esteban V�squez (@tebanvm) March 25, 2018		| |4
Si Galarreta fuese Ppkausa o de FA, nunca dejar�amos de escuchar la historia del ;hijo de la talidomida; que super� sus problemas para ser presidente del Congreso, y burlarse de �l ser�a un tab� inquebrantable.Pero como es naranja, hacemos el chiste de la huella digital.&mdash; Rodrigo de Pi�rola (@RdePierola) March 24, 2018		| |-1
Jhon Jairo Velasquez en Twitter: ;Humberto de la calle y Sergio Fajardo se pueden tomar un café ☕️, hacer el Amor,casarse, irse a vivir juntos. Lo que quieran pero no llegan a ninguna parte. Son unas cucarachas del Comunismo.....Son Ratas del si; antidemocraticos y aliados de las Farc y JMS;| humbert calle sergi fajard cafe ☕️  amor casarse  irse viv  quieran no lleg  cucarach comun     rat  antidemocrat ali farc    |-5
ENRIQUE SANCHEZ en Twitter: ;Villacís, el acuerdo que mantiene Ciudadanos con el PSOE, ;es un pacto, un compromiso y algo puesto por escrito, &#13;https://t.co/FMBSWeWecC… https://t.co/Uw1VydKcT1;| villac  acuerd mantiene ciudadan psoe   pact  compromis puest escrit      |0
Llevamos 3 meses recorriendo el pais con @sergio_fajardo dici�ndole a los colombianos que no caigamos en polarizaci�n ni revanchas porque SIEMPRE terminan en violencia. Los que cre�an que era tibieza, chiste o exageraci�n tuvieron un golpe de realidad estos d�as #SePuede pic.twitter.com/rVXVrbfLAx&mdash; Claudia L�pez (@ClaudiaLopez) March 5, 2018		| |5
Sandra Jaramillo en Twitter: ;.@sergio_fajardo cómo estarás de mal que vas a dejar el ego a un lado, pero ni así vas a hacer presidente… ;|  estarás mal vas ego  vas presidente…    |-3
Fajardo Presidente Atlántico en Twitter: ;No permitas que elijan por ti.;Tienes en tus manos el poder de transformar a Colombia.!!! 🇨🇴 ;;HOY es el último día para Inscripción de Cédulas. ;Acércate al punto más cercano a tu residencia y vota este 27 de mayo a presidenciales.;;Con @sergio_fajardo;#SePuede… https://t.co/yJoyVvPfJg;| No permit elij  tienes man transform       ultim inscripcion cedul   acercate punt cercan residente vot   #sepuede…     |4
Elsa Cristina Niño en Twitter: ;POR FIN ;LA GRAN ENCUESTA; QUE DARA CON EL PERFIL QUE SE NECESITA PARA SER PRESIDENTE DE ESTE PAIS! SEGUN ;EL GRAN  POLITOLOGO Y ABOGADO DE LA U DE LOS ANDES; MARTIN SANTOS; Respondan Señores! Oiga Martin Ud. SI estudio?… https://t.co/YuYpptfm1a;| fin  encuest  perfil necesit ser presidente pais    politolog abog andes  martin sant  respond señores  oig martin  estudi         |0
Maria Jacqueline  Arenas Galeano en Twitter: ;Apostando le primero a las capacidades. Claro que se puede… ;| apost capac  clar puede…    |4
As� de simple:Duque representa el Centro.Fajardo-DLCalle la izquierda.Petro la extrema izquierda.&mdash; Zien The Bosch (@The__Bosch) March 27, 2018		| |-3
Compromiso Antioquia en Twitter: ;La tarea de Colombia es la educación, y daremos ese paso fundamental en nuestro país, para hacer de la educación el motor de la transformación: @sergio_fajardo #ConEducaciónSePuede;| tare educ  darem pas fundamental  educ motor transform  #coneducacionsepuede   |5
Hay una fuerza que puede movilizar al pa�s hacia la transformaci�n, es ahora, es ya que podemos hacerlo. Es #LaFuerzaDeLaEsperanza. Tenemos otra oportunidad para cambiar el rumbo y para escribir una nueva p�gina. #ElEquipo. pic.twitter.com/NwvIyRgJDL&mdash; Fajardo Presidente (@sergio_fajardo) March 28, 2018		| |4
NASO en Twitter: ;Pero quién convence a esta Colombia sin criterio de lo peligroso que es subir de presidente a un desconocido inexperto... @sergio_fajardo @ClaudiaLopez @AntanasMockus… https://t.co/xyuKrPFNTK;| convence criteri peligr sub presidente desconoc inexpert    @antanasmockus…    |-2
Felipe Pineda Ruiz en Twitter: ;@sergio_fajardo hizo posible que Antioquia obtuviera el mejor desempeño de todos los departamentos del país en Gobierno Abierto, transparencia y en inversión de regalías. #FajardoLogró… https://t.co/4TsBgETqAk;| posible antioqui obtuv mejor desempeñ departament abiert  transparente inversion regal  #fajardologro…    |4
Fajardo Presidente en Twitter: ;Listo Humberto...@DeLaCalleHum .#sepuede abrazos.… ;| list humbert    #sepuede abraz    |4
Les dejo la entrevista completa y sin editar por la que los petristas me han troleado e insultado todo el d�a https://t.co/S4dzgyQce9 Cada uno juzgue los argumentos y la reflexi�n, y saquen sus propias conclusiones. Todav�a #SePuede Somos #LaFuerzaDeLaEsperanza&mdash; Claudia L�pez (@ClaudiaLopez) March 17, 2018		| |0
Ivan Dario Gaviria G en Twitter: ;Te necesitamos ánimo a salir de esta prueba… ;| necesit anim sal prueba…    |0
Compromiso Antioquia en Twitter: ;¡Vamos a transformar el país, lo vamos a cuidar, y le vamos a devolver la confianza a la gente! Con #LaFuerzaDeLaEsperanza y #FajardoPresidente #SePuede… https://t.co/VKvKi4Artb;|  vam transform  cuid  devolv confianz gente  #lafuerzadelaesper #fajardopresidente #sepuede…   |5
Con @sergio_fajardo uno de los candidatos con las mejores propuestas para tomar el tim�n de nuestro pa�s ????#colombia #sergiofajardo #presidente @USergioArboleda @LaSergioBQ @lasillavacia @Decanatura_USA pic.twitter.com/861GcmPsyo&mdash; Sergio Nicol�s (@nicoo_vlogs) March 21, 2018		| |5
#FajardoLogr� Transformar #Urab�,  convertirla de una regi�n olvidada en el centro del desarrollo econ�mico del pais, lo logr� construyendo las mejores universidades, las mejores v�as y el mejor programa de becas, construy� 6 parques educativos en los rincones m�s humildes. pic.twitter.com/nnyDrlpID3&mdash; Camilo Calle (@camilocalle2011) March 26, 2018		| |4
William Suárez Ing. en Twitter: ;3. #FajardoLogró sacar adelante las Olimpiadas del Conocimiento donde más de 130 mil estudiantes del departamento participaron.;#FajardoPropone lanzar las Olimpiadas del Conocimiento Colombia donde reconoceremos a jóvenes con talento y dedicación en los estudios.… https://t.co/ErbsIIwXso;|  #fajardologr sac adel olimpi conoc estudi departament particip  #fajardopropone lanz olimpi conoc reconoc jovenes talent dedic estudi   |4
#FajardoLogr� convertir a Antioquia, entre 2012 y 2015, en el departamento que m�s invirti� en la construcci�n de universidades p�blicas en sus regiones. pic.twitter.com/ESvKJ084EX&mdash; Centro Fajardista (@centrofajardo) March 25, 2018		| |4
Jhonatan A. Moreno en Twitter: ;Al proponer la educación como elemento central en la transformación de nuestra sociedad,la política misma se convertirá en actividad educadora, y a los políticos les corresponderá buena parte del liderazgo pedagógico de la sociedad. @sergio_fajardo en 2010. #ConEducaciónSePuede;| propon educ element central transform socied politic convert activ educ  politic correspond buen liderazg pedagog socied   #coneducacionsepuede   |4
Linita!! en Twitter: ;Claudia y no criticar ni hablar mal del contrincante eso no resta eso antes le suma al otro y le resta a Fajardo, pilas pues.: Fajardo Presidente!!!… https://t.co/p4NuzqQxaj;| claudi no critic habl mal contrinc no rest sum rest fajard  pil   fajard presidente   …   |2
Guillermo Moreno en Twitter: ;Siempre hemos sido respetuosos de la diversidad de visiones que hay en el Frente Amplio, y nunca nos hemos arrogado su representación en agendas no resueltas por quienes lo componen. Al respecto siempre hemos señalado que hablamos a nombre de @Liberales_Chile y no del FA.… https://t.co/nrM4RxPIaT;| siempre hemos respetu divers visiones frente ampli  hemos arrog represent agend no resuelt componen  respect hemos señal habl nombre @liberales_chile no    |0
lenin navarro en Twitter: ;Ajajjaaja caera en la peor corrupcion con este clientelista y corrupto de coscorro @German_Vargas  aqui la coailicios es @DeLaCalleHum @petrogustavo  presidente… https://t.co/LtH8MIvW4I;| ajajjaaj caer peor corrupcion clientel corrupt coscorr @german_varg  coailici  presidente…    |-1
Carla Ochoa en Twitter: ;#FajardoLogró que volviera a creer en la posibilidad de un gobierno honesto y sensato;| #fajardologr volv cre posibil honest sensat   |5
#FajardoLogr� cambiarle la cara a Moravia, conocido como el basurero. Estas son algunas de las intervenciones, sumada a la reubicaci�n en el barrio las Flores para tener una vivienda m�s digna y mitigar riesgos ambientales como incendios y deslizamientos. #SePuede pic.twitter.com/MY8u00Aofs&mdash; Juan Jose Largo F (@JuanJoLargo) March 25, 2018		| |4
As� se hace, debajo de esos crespo, solo hay caspa&mdash; El Tabano (@Eltabano03) March 29, 2018		| |0
Juan Jose Largo F en Twitter: ;#FajardoLogró cambiarle la piel a Medellin y despertar nuevos sentidos de ciudad y civismo. Esta es la transformación en la Comuna 1 y 2 consideradas como las mas violentas de Medellin. Hoy la transitan miles de turistas, sueños y oportunidades. @Compromiso_Ant @sergio_fajardo… https://t.co/p6FnhCUBc4;| #fajardologr cambiarle piel medellin despert nuev sent ciud civism  transform comun consider violent medellin  transit miles turist  sueñ oportun    |4
DINA MIRANDA en Twitter: ;“Colombia será lo que nosotros queramos que ella sea. La posición más fácil es aceptarla tal cual es,pero la resignación no es una tarea digna de esta generación”.Por eso yo creo, profundamente, en la #FuerzaDeLaEsperanza en @sergio_fajardo @ClaudiaLopez;| “colombi quer  posicion facil aceptarl resign no tare dign generacion”  profund  #fuerzadelaesper   |5
David Alzate en Twitter: ;Que se piensa para ciencia y tecnología. El actual gobierno redujo un 11% a sólo 0.33 billones.… ;| piens cienci tecnolog  actual reduj          |0
Tutunendo en Twitter: ;¡De La Calle está a la espera del regreso de Gaviria para pedirle el consentimiento de la alianza con Fajardo, eso dijo. Lo destacable es que detrás de los candidatos de centro y derecha, están los expresidentes y el presidente, los mismos que han llevado al país al caos!… https://t.co/70Oc3rjWNZ;|  _de_la_calle esper regres gaviri pedirle consent alianz fajard   destac detras candidat centr derech  expresidentes presidente  llev caos …   | -3
Sergio Ramos en Twitter: ;Alejandro ha nacido sano y estamos FELICES. No olvidamos a los niños que mueren por causas evitables. Por eso colaboramos con @unicef_es. ;Alejandro has been born healthy. We can’t forget about the children that die due to causes that are avoidable. ;👉 https://t.co/uDYd0BYloM… https://t.co/Xl1OL5teRj;| nac san felices  No olvid niñ mueren caus evit  colabor @unicef_es   born healthy  We can’t forget about children die causes avoid              |5
RT lasillaenvivo: #FajardoCharladito : �No nos ha ido tan mal, despu�s de todo estoy para Presidente� sergio_fajardo : RT JERobledo&mdash; ?RTCali Tus RTuits!? (@RtCali) March 21, 2018		| |1
De la Calle no quiso hacer la consulta liberal en marzo. Grave error para los liberales. Fajardo se neg� a hace una consulta interpartidista en marzo. Grave error para los verdes. Hoy ya no hay v�a jur�dica q les permita unirse alrededor a Fajardo distinta a pagar 40 mil millones&mdash; Carlos F. Gal�n (@carlosfgalan) March 27, 2018		| |-1
